,Lagrangian mass,Radius,Density,Temperature,Pressure,Luminosity,E generation rate,Opacity,Adiabatic temperature gradient,Actual temperature gradient,Energy transport
155,5.027363865933373e+31,33215886314.56792,1.9960593015243906,4692934.2264017295,1267141415917794.8,8.640893640037462e+30,0.001874499087703854,1.71391944513373,0.4,0.4,c
156,5.081245266422241e+31,33437506159.249603,1.9995034746021183,4683583.268683384,1266789249936189.8,8.656058850512759e+30,0.0018553337591088585,1.7185733937533685,0.4,0.4,c
157,5.135704147554259e+31,33660458153.734562,2.002915727167664,4674324.454404409,1266433309571658.0,8.6710719208307e+30,0.0018364878057273127,1.7232277471256088,0.4,0.4,c
158,5.190746698550426e+31,33884749415.606434,2.0062957838189424,4665157.371314694,1266073554371777.8,8.68593585097001e+30,0.001817955877108896,1.7278824346266506,0.4,0.4,c
159,5.246379174965369e+31,34110387082.572136,2.0096433758867565,4656081.59641412,1265709943450575.5,8.700653586475337e+30,0.0017997326943957033,1.7325373873201886,0.4,0.4,c
160,5.302607899398524e+31,34337378312.264694,2.012958241423892,4647096.696258742,1265342435483875.0,8.715228019426936e+30,0.0017818130501343803,1.737192537960891,0.4,0.4,c
161,5.359439262212583e+31,34565730282.05236,2.0162401251897495,4638202.227265556,1264970988704603.8,8.72966198939842e+30,0.0017641918080507433,1.7418478209969794,0.4,0.4,c
162,5.416879722259616e+31,34795450188.85391,2.0194887786305302,4629397.736015753,1264595560898046.2,8.743958284402515e+30,0.0017468639027885284,1.746503172571919,0.4,0.4,c
163,5.474935807615378e+31,35026545248.96007,2.0227039598550265,4620682.75955638,1264216109397044.5,8.758119641824733e+30,0.0017298243396142107,1.7511585305251964,0.4,0.4,c
164,5.533614116321094e+31,35259022697.860916,2.0258854336060543,4612056.82570033,1263832591077149.8,8.772148749344917e+30,0.0017130681940895685,1.755813834392222,0.4,0.4,c
165,5.592921317133183e+31,35492889790.079384,2.0290329712275867,4603519.453324557,1263444962351723.0,8.786048245846614e+30,0.0016965906117137287,1.7604690254033346,0.4,0.4,c
166,5.652864150281433e+31,35728153799.01054,2.032146350627625,4595070.152666455,1263053179166978.5,8.799820722314228e+30,0.0016803868075362003,1.7651240464819118,0.4,0.4,c
